Name,Jagged Mean,Jagged Std Dev,Jmax,Jmin,Jrange,Stanza Mean,Stanza Std Dev,Smax,Smin,Srange,Margin Mean,Margin Std Dev,Mmax,Mmin,Mrange,Length Mean,Length Std Dev,Lmax,Lmin,Lrange
the_weekly_sun_18611005_1_clean_false.jpg,31.1349206349,48.3686738977,2184,1598,0,10.292257361,4.8140646165,28,6,22,24.2698412698,44.9638548762,144,0,144,76.5689655172,75.3848343621,144,0,144
the_weekly_sun_18611005_1_clean_true.jpg,74.6507936508,47.6341858024,2426,2922,0,19.1871455577,28.1448613162,155,5,150,47.996031746,53.3544334122,144,0,144,29.0172413793,45.0676716781,144,0,144
the_weekly_sun_18611005_4_clean_false.jpg,13.4880952381,33.5484959306,920,716,0,9.5736196319,3.5001021584,20,7,13,9.8055555556,31.0005653644,144,0,144,109.1077586207,77.526658844,144,0,144
the_weekly_sun_18611005_4_clean_true.jpg,44.8293650794,40.8952326626,1780,1966,0,13.7673796791,18.5981111421,176,5,171,27.9404761905,46.8121980226,144,0,144,68.9870689655,66.8545875103,144,0,144
the_weekly_sun_18611012_1_clean_false.jpg,32.2619047619,46.6746852059,1876,1626,0,10.8433619866,8.5583737133,61,5,56,24.3611111111,38.0588951147,144,0,144,59.4267241379,68.4813943174,144,0,144
the_weekly_sun_18611019_1_clean_false.jpg,20.6468253968,44.0236254134,1828,1636,0,13.0665742025,15.3828084797,58,3,55,42.2579365079,51.402652225,144,0,144,69.3793103448,74.9863476492,144,0,144
the_weekly_sun_18620208_4_clean_false.jpg,61.5674603175,75.3540777194,2030,2016,0,12,5.7879184514,22,8,14,61.1428571429,74.8343944248,144,0,144,93.1034482759,79.3022056222,144,0,144
the_weekly_sun_18620222_3_clean_false.jpg,28.1666666667,46.2533568065,1688,764,0,8.8324808184,3.43240444,25,1,24,11.0079365079,31.2507950444,144,0,144,89.1810344828,73.7943513021,144,0,144
the_weekly_sun_18620322_4_clean_false.jpg,72.9523809524,72.4237208053,2134,1900,0,22.678030303,19.6797881794,92,7,85,58.5515873016,72.0635387323,144,0,144,52.2370689655,67.6646668176,144,0,144
the_weekly_sun_18620524_4_clean_false.jpg,19.7023809524,37.3099042086,1806,1080,0,7.6498470948,10.1211933596,224,5,219,42.6706349206,24.8135790511,144,26,118,0,0,0,0,0
the_weekly_sun_18630919_2_clean_false.jpg,26.2896825397,45.2927496854,1788,288,0,8.2266666667,1.5541199725,20,5,15,2.2857142857,18.0184550678,144,0,144,121.8620689655,70.2259946544,144,7,137
the_weekly_sun_18640813_2_clean_false.jpg,119.2579365079,63.8753321133,1150,1612,0,47.267961165,55.6571163876,188,2,186,102.7380952381,73.0306767996,144,0,144,31.1120689655,55.6764638151,144,0,144
the_weekly_sun_18640924_4_clean_false.jpg,160.5357142857,34.4621047211,1160,1152,0,75.5,72.5,148,3,145,159.4285714286,34.2244350334,144,0,144,4.3448275862,23.7237369653,144,0,144
the_weekly_sun_18641029_1_clean_false.jpg,35.5198412698,52.9878179041,1750,1526,0,12.2,7.4780419303,38,5,33,30.2857142857,51.9372908742,144,0,144,68.3836206897,73.7108990821,144,0,144
the_weekly_sun_18650520_2_clean_false.jpg,2.3015873016,18.143583228,290,288,0,0,0,-2147483648,2147483647,1,2.2857142857,18.0184550678,144,0,144,144,67.8822509939,144,144,0
washington_evening_star_18650416_false.jpg,17.876984127,33.8393908911,818,288,0,10.88671875,3.5043025138,15,5,10,2.7619047619,18.2765708432,144,0,144,131.9870689655,66.6600531885,144,51,93
western_reserve_chronicle_18550711_1_true.jpg,37.4682539683,48.9570620109,1860,1286,0,19.563071298,20.0858565773,77,1,76,55.0674603175,40.8308142986,144,0,144,3.6379310345,21.4953594633,144,0,144
